"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","1990",575,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","1991",724.969,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","1992",593.54,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","1993",497.566,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","1994",522.583,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","1995",189.774,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","1996",56.074,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","1997",184.526,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","1998",150.3,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","1999",132.819,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2000",102.4,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2001",121.8,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2002",86.5,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2003",126.006,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2004",133.347,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2005",187.017,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2006",81.113,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2007",88.371,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2008",153.022,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2009",120.942,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2010",167.666,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2011",205.234,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2012",247.5,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2013",239.248,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2014",387.367,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2015",341.088,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2016",509.114,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2017",432.928,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2018",324.011,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2019",432.014,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2020",456.842,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2021",481.845,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2022",507.225,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2023",515.024,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2024",522.544,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2025",530.123,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2026",537.905,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2027",545.775,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2028",553.788,
"MEX","CROPYIELD","SOYBEAN","THND_TONNE","A","2029",561.842,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","1990",1262.1,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","1991",1459.9,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","1992",1453.3,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","1993",1944.9,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","1994",2253.7,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","1995",2297.5,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","1996",2169.5,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","1997",2737.7,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","1998",2736.6,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","1999",2780.9,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","2000",2703,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","2001",1635.2,
"CAN","CROPYIELD","SOYBEAN","THND_TONNE","A","2002",2335.7,
