Nome: COARI
Codigo Estacao: 82425
Latitude: -4.08534
Longitude: -63.145144
Altitude: 34.18
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;25;266,2;32,47;26,8;23,93871;4;
2008-02-29;22;430,1;31,934483;26,485517;23,517241;4;
2008-03-31;20;228,7;32,290323;26,743871;23,825806;4;
2008-04-30;21;335,2;32,636667;27,168667;23,843333;3;
2008-05-31;20;142,7;31,058065;26,323226;23,683871;3;
2008-06-30;13;99,8;31,94;26,688;23,646667;3;
2008-07-31;9;23,5;34,225806;28,150968;24,503226;15;
2008-08-31;9;46,8;34,567742;28,663871;24,036667;7;
2008-09-30;17;97,4;33,946667;27,646;23,756667;10;
2008-10-31;14;80,6;33,677419;27,481935;23,864516;5;
2008-11-30;15;81,8;33,73;27,814667;24,42069;7;
2008-12-31;23;349,9;32,789655;27,212903;23,886207;3;
2009-01-31;24;425,6;32,070968;26,476129;23,632258;5;
2009-02-28;20;293;32,542857;26,960714;23,814286;4;
2009-03-31;23;566,7;32,864516;26,910323;23,641935;3;
2009-04-30;15;324;32,717241;26,928276;23,82069;6;
2009-05-31;20;150,7;32,93871;27,291613;24,016129;4;
2009-06-30;19;235,1;32,08;26,567333;23,68;3;
2009-07-31;14;111,3;33,883871;27,785806;24,106452;3;
2009-08-31;9;73,1;35,135484;28,95871;24,858065;5;
2009-09-30;4;56,2;35,72;29,3;25,163333;4;
2009-10-31;12;228,6;34,706452;28,718065;24,722581;3;
2009-11-30;13;216,1;34,7;28,705;25,346667;3;
2009-12-31;20;300,6;31,154839;26,72129;24,025806;7;
2010-01-31;25;266;32,232258;27,312258;24,2;4;
2010-02-28;16;173,8;32,114286;27,307143;24,521429;3;
2010-03-31;19;396,1;33,045161;27,990323;25,225806;3;
2010-04-30;22;391,1;31,246667;26,977931;24,593103;4;
2010-05-31;17;188,4;31,825806;27,446452;24,754839;4;
2010-06-30;18;115,7;31,993103;27,154667;24,433333;3;
2010-07-31;8;72,2;32,33871;27,13871;23,832258;6;
2010-08-31;5;27;33,703226;28,391613;24,674194;3;
2010-09-30;6;70,2;34,853333;29,025333;24,733333;4;
2010-10-31;10;76,7;34,593548;28,355484;24,5;3;
2010-11-30;15;108,1;33,193333;27,586667;24,166667;3;
2010-12-31;15;306,6;32,445161;27,283226;24,467742;5;
2011-01-31;21;294;31,283871;26,465161;23,964516;3;
2011-02-28;15;302,4;31,940741;26,584286;23,044444;3;
2011-03-31;13;205;31,848387;26,930968;23,535484;3;
2011-04-30;20;378,2;31,423333;26,430667;22,936667;5;
2011-05-31;16;162,8;31,780645;26,92;23,141935;2;
2011-06-30;11;50;32,573333;27,568667;23,423333;3;
2011-07-31;2;29,6;33,206452;27,564516;22,912903;2;
2011-08-31;2;,4;34,187097;28,483871;23,6;2,5;
2011-09-30;13;111,8;33,733333;28,013333;23,513333;5;
2011-10-31;9;182,2;33,367742;28,036129;24,135484;3;
2011-11-30;14;212,7;32,633333;27,432;23,153333;2,5;
2011-12-31;14;170,8;32,412903;27,527742;24,258065;3;
2012-01-31;21;576,5;30,893548;26,465806;24,022581;5;
2012-02-29;15;502,1;31,441379;26,682759;23,841379;4;
2012-03-31;21;255,8;31,754839;26,745161;23,622581;3;
2012-04-30;19;274,8;31,816667;27,113333;24,110345;3;
2012-05-31;19;168;31,948387;27,26129;24,370968;3;
2012-06-30;10;111,1;32,42;27,536;24,073333;3;
2012-07-31;11;105,6;32,113333;27,269333;23,906667;2;
2012-08-31;7;159,3;33,833333;28,184516;24,077419;3;
2012-09-30;6;58,8;34,373333;28,535333;24,843333;3;
2012-10-31;10;226,2;34,23871;28,794194;24,796774;3;
2012-11-30;10;165,2;33,633333;28,390667;24,486207;2;
2012-12-31;17;285,3;32,845161;27,273548;23,748387;4;
2013-01-31;22;193,5;32,580645;27,593548;24,464516;3;
2013-02-28;24;314,1;32,621429;27,137857;23,825;7,5;
2013-03-31;20;244,7;33,412903;28,036129;24,593548;8,9;
2013-04-30;20;372,3;32,293333;27,652667;24,643333;3;
2013-05-31;19;289,8;32,612903;28,01871;24,951613;9,2;
2013-06-30;13;147,6;32,682759;28,029333;24,451724;2;
2013-07-31;8;58,2;32,168966;27,476129;24,058621;6;
2013-08-31;7;68,6;33,167742;28,215484;24,651613;5;
2013-09-30;10;141,6;33,82069;28,743333;24,983333;5;
2013-10-31;14;197,7;33,783871;28,151613;24,129032;3;
2013-11-30;18;232,3;32,293333;27,618;24,353333;5;
2013-12-31;18;163,9;33,190323;28,198667;25,13871;5;
2014-01-31;3;196,8;32,245161;27,629032;24,435484;4;
2014-02-28;null;253,3;31,857143;27,087857;24,157143;10,3;
2014-03-31;null;142,4;31,980645;27,396774;24,422581;6;
2014-04-30;null;212,8;33;27,920667;24,886207;7,2;
2014-05-31;null;170,8;32,246667;27,769333;24,748387;3;
2014-06-30;null;71,1;32,6;28,111724;24,946667;2;
2014-07-31;null;148,8;32,137931;27,47;24,026667;2;
2014-08-31;null;125,2;32,944828;28,102069;24,729032;2,5722;
2014-09-30;null;36,4;34,913333;29,453333;25,746429;3,08664;
2014-10-31;null;138,8;33,24;27,908276;24,72;2,05776;
2014-11-30;null;263,3;33,11;28,271333;25,133333;3,08664;
2014-12-31;null;185,8;32,434483;27,921429;24,82;3,08664;
