Nome: PRESIDENTE PRUDENTE
Codigo Estacao: 83716
Latitude: -22.119874
Longitude: -51.408624
Altitude: 431.97
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2012-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;22;198,9;29,980645;24,818065;21,267742;4,5;
2008-02-29;13;194,5;30,703448;25,358621;21,493103;5,6;
2008-03-31;11;212;30,177419;24,80129;20,583871;4,5;
2008-04-30;9;112,5;29,133333;23,708;19,506667;3,5;
2008-05-31;7;64,9;25,670968;20,246452;16,064516;3,8;
2008-06-30;4;14,5;26,02;19,722667;15,26;4,8;
2008-07-31;0;0;28,651613;21,758065;16,73871;4,1;
2008-08-31;9;77;29,329032;22,560645;17,619355;5;
2008-09-30;5;21,8;29,106667;21,794667;15,66;5,1;
2008-10-31;10;115,6;31,43871;25,325806;20,309677;5;
2008-11-30;8;82,1;31,273333;25,426207;19,73;5;
2008-12-31;13;73,6;33,122581;26,450968;20,874194;4,1;
2009-01-31;18;563,8;29,729032;24,834839;20,935484;4,5;
2009-02-28;18;211,2;31,360714;26,071111;22,089286;4,5;
2009-03-31;5;94,3;31,629032;26,476774;22,141935;3,6;
2009-04-30;2;19,8;31,083333;24,955862;19,95;4,5;
2009-05-31;5;54,3;28,412903;22,113548;17,790323;4,1;
2009-06-30;9;39,3;24,172414;18,258621;13,848276;4,1;
2009-07-31;11;105,6;25,319355;19,568387;15,206452;5,8;
2009-08-31;7;152,6;26,809677;21,114194;16,522581;4,8;
2009-09-30;11;154,7;29,168966;23,492414;18,993103;5,3;
2009-10-31;10;232,7;29,825806;24,239355;19,129032;4,6;
2009-11-30;18;169,7;31,963333;26,735333;22,756667;4,6;
2009-12-31;19;258,8;30,596774;25,699355;21,809677;7,2;
2010-01-31;26;419,7;30,383333;25,443448;22,356667;4,6;
2010-02-28;14;158,1;31,659259;26,758182;22,618519;3,3;
2010-03-31;8;109,7;31,2;25,702963;21,396774;4,5;
2010-04-30;7;45,3;29,424138;23,7936;19,375862;4,1;
2010-05-31;5;29;25,673333;19,9225;15,956667;4,1;
2010-06-30;2;20;26,906897;20,363077;15,228571;5,5;
2010-07-31;null;0;null;null;null;null;
2010-08-31;null;0;29,352;21,2464;15,24;5;
2010-09-30;10;237,4;30,831034;24,11913;18,22069;5;
2010-10-31;13;107,2;29,492857;23,525385;18,219231;4,6;
2010-11-30;8;89,9;30,707143;24,782609;19,334783;4,1;
2010-12-31;15;183,5;31,037931;25,436154;21,444444;4,6;
2011-01-31;14;239,1;31,492857;25,7;21,926087;3,5;
2011-02-28;20;325,7;30,874074;25,494783;21,947826;3,3;
2011-03-31;12;109,6;28,909677;24,622609;21,264516;4,1;
2011-04-30;8;75,5;29,195833;23,793;19,869565;3,8;
2011-05-31;2;9,2;27,048276;20,55913;15,682143;3,8;
2011-06-30;3;47,5;null;null;null;null;
2011-07-31;5;17,7;27,407407;21,805;17,8125;4,8;
2011-08-31;5;24;30,148276;21,740909;16,133333;5;
2011-09-30;4;8,1;32,114815;24,373333;17,977273;5;
2011-10-31;11;210,5;29,796667;24,386957;19,36;6,3;
2011-11-30;4;122,7;30,747368;24,955294;19,4;5;
2011-12-31;7;190,2;32,541379;26,350476;21,192308;3,8;
2012-01-31;14;225,6;30,158065;24,765;21,1;4,3;
2012-02-29;9;146,6;32,796154;26,963333;22,505263;3,3;
2012-03-31;5;137,5;31,532258;25,628;20,986207;3,3;
2012-04-30;2;17;31,65;null;20,911765;4,1;
2012-05-31;4;75,6;26,23125;null;17,547059;4,5;

